subject_id,rt,stimulus,trial_type,time_elapsed,gender,age,language,country,sampling,turkcode,nb_of_run,responses,stim_type,length,state_OR_event,branch_first,time_interval,node_selected
1,,instruction,image-button-response,57391,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,74607,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,134847,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,causal-graph1,176598,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,210198,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,image-button-response,225262,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,survey-multi-choice,270425,male,52,English,United States of America,Right,R568953627240gxrw,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should assign a number to every detector in every network""}",,,,,,
1,,instruction,image-button-response,278392,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,image-button-response,280607,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,282751,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,292791,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,causal-graph1,297231,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,307446,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,image-button-response,309686,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,survey-multi-choice,357943,male,52,English,United States of America,Right,R568953627240gxrw,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should assign a number to every detector in every network""}",,,,,,
1,,instruction,image-button-response,360766,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,image-button-response,366759,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,371831,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,397679,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,causal-graph1,408647,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,428775,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,image-button-response,436694,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,survey-multi-choice,485337,male,52,English,United States of America,Right,R568953627240gxrw,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on only one detector in each network""}",,,,,,
1,,instruction,image-button-response,488455,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,image-button-response,492303,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,525063,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,611855,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,causal-graph1,629599,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,683079,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,image-button-response,705975,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,survey-multi-choice,821024,male,52,English,United States of America,Right,R568953627240gxrw,,"{""Q0"":"" To decide what causes the activation of each detector"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" Some detectors are not clickable""}",,,,,,
1,,instruction,image-button-response,823753,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,image-button-response,827007,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,840856,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,865743,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,causal-graph1,882231,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,894728,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,image-button-response,901063,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,survey-multi-choice,1039704,male,52,English,United States of America,Right,R568953627240gxrw,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" Some detectors are not clickable""}",,,,,,
1,,instruction,image-button-response,1052647,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,image-button-response,1056007,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,1080167,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,1130831,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,causal-graph1,1170127,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,1212544,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
1,,instruction,image-button-response,1244119,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,survey-multi-choice,1501737,male,52,English,United States of America,Right,R568953627240gxrw,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A detector becomes active if it absorbs a radioactive particle"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on only one detector in each network""}",,,,,,
1,,instruction,image-button-response,2917114,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,image-button-response,2928881,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,2936098,male,52,English,United States of America,Right,R568953627240gxrw,,,,,,,,
1,,instruction,causal-graph1,2966714,male,52,English,United States of America,Right,R568953627240gxrw,1.0,,,,,,,
