subject_id,rt,stimulus,trial_type,time_elapsed,gender,age,language,country,sampling,turkcode,nb_of_run,responses,stim_type,length,state_OR_event,branch_first,time_interval,node_selected
1,,instruction,image-button-response,16783,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,
1,,instruction,causal-graph1,30108,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,
1,,instruction,causal-graph1,139781,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,,,,,,
1,,instruction,causal-graph1,142755,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,
1,,instruction,causal-graph1,330315,male,29,English,United States of America,Right,R568084887600gxrw,2.0,,,,,,,
1,,instruction,image-button-response,338613,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,
1,,instruction,survey-multi-choice,358417,male,29,English,United States of America,Right,R568084887600gxrw,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A GCM is a square marked with a star"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on just one detector in each network""}",,,,,,
1,,instruction,image-button-response,362438,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,
1,22620.305000105873,chain_RL,causal-graph1,391709,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,Chain,Long,,,,node7
1,23863.119999878112,branch_RTLE1,causal-graph1,422346,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Long,Event,Top,Short,node12
1,10390.47500002198,branch_RBSS,causal-graph1,442594,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Short,State,Bottom,,node15
1,14482.459999853745,branch_RTSE3,causal-graph1,464006,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Short,Event,Top,Long,node14
1,30929.864999838173,branch_RTLE2,causal-graph1,505246,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Long,Event,Top,Medium,node14
1,30747.454999946054,chain_RM,causal-graph1,541167,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,Chain,Medium,,,,node7
1,15376.404999988154,branch_RBME1,causal-graph1,560736,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Medium,Event,Bottom,Short,node14
1,17772.184999892488,branch_RTSE1,causal-graph1,584776,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Short,Event,Top,Short,node14
1,19074.565000133593,branch_RTME2,causal-graph1,606806,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Medium,Event,Top,Medium,node7
1,13810.864999890327,branch_RTLS,causal-graph1,623734,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Long,State,Top,,node7
1,18807.154999813065,branch_RTLE3,causal-graph1,645926,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Long,Event,Top,Long,node15
1,11859.489999944344,branch_RTMS,causal-graph1,673408,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Medium,State,Top,,node14
1,12609.46499998681,branch_RTSE2,causal-graph1,723584,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Short,Event,Top,Medium,node7
1,12595.985000021756,chain_RS,causal-graph1,740183,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,Chain,Short,,,,node8
1,171543.4899998363,branch_RTME3,causal-graph1,915063,male,29,English,United States of America,Right,R568084887600gxrw,1.0,,AND_Gate,Medium,Event,Top,Long,node14
1,,instruction,image-button-response,922434,male,29,English,United States of America,Right,R568084887600gxrw,,,,,,,,
1,140711.45499986596,comment,survey-text,1063174,male,29,English,United States of America,Right,R568084887600gxrw,,"{""Q0"":""thankyou""}",,,,,,
2,,instruction,image-button-response,14661,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
2,,instruction,causal-graph1,26619,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
2,,instruction,causal-graph1,45604,male,33,english,United States of America,Left,R564700337210gxrw,1.0,,,,,,,
2,,instruction,causal-graph1,48951,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
2,,instruction,causal-graph1,192110,male,33,english,United States of America,Left,R564700337210gxrw,2.0,,,,,,,
2,,instruction,image-button-response,204510,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
2,,instruction,survey-multi-choice,270660,male,33,english,United States of America,Left,R564700337210gxrw,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":""A GCM is a square without any mark"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on just one detector in each network""}",,,,,,
2,,instruction,image-button-response,273269,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
2,,instruction,image-button-response,276119,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
2,,instruction,causal-graph1,609539,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
2,,instruction,causal-graph1,645472,male,33,english,United States of America,Left,R564700337210gxrw,1.0,,,,,,,
2,,instruction,causal-graph1,647372,male,33,english,United States of America,Left,R564700337210gxrw,,,,,,,,
