subject_id,rt,stimulus,button_pressed,trial_type,trial_index,time_elapsed,internal_node_id,gender,age,language,country,sampling,turkcode,stim_name,status,nb_of_run,responses,question_order,stim_type,length,state_OR_event,branch_first,time_interval,node_selected
1,1367.0,img/inst_1.png,0.0,image-button-response,0,1376,0.0-0.0-0.0,,,,Australia,Left,R564877637680gxrw,,,,,,,,,,,
1,,,,causal-graph1,1,2371,0.0-0.0-1.0,,,,Australia,Left,R564877637680gxrw,img/inst_2L.png,inactive,,,,,,,,,
1,,,,causal-graph1,2,14111,0.0-0.0-2.0,,,,Australia,Left,R564877637680gxrw,"img/inst_3L.png,img/inst_3L.gif",inactive,2.0,,,,,,,,
1,,,,causal-graph1,3,15159,0.0-0.0-3.0,,,,Australia,Left,R564877637680gxrw,img/inst_4L.png,inactive,,,,,,,,,
1,,,,causal-graph1,4,26271,0.0-0.0-4.0,,,,Australia,Left,R564877637680gxrw,"img/inst_5L.png,img/inst_5LT.gif",inactive,1.0,,,,,,,,
1,816.0,img/inst_6.png,0.0,image-button-response,5,27091,0.0-0.0-5.0,,,,Australia,Left,R564877637680gxrw,,,,,,,,,,,
1,4670.0,,,survey-multi-choice,6,31766,0.0-0.0-6.0,,,,Australia,Left,R564877637680gxrw,,,,"{""Q0"":"" To decide what caused the activation of the GCM"",""Q1"":"" A GCM is a square marked with a star"",""Q2"":"" A GCM becomes active if all of its inputs are active"",""Q3"":"" You should click on just one detector in each network""}","[0,1,2,3]",,,,,,
1,1217.0,img/inst_8.png,0.0,image-button-response,7,33002,0.0-1.0,,,,Australia,Left,R564877637680gxrw,,,,,,,,,,,
1,8562.0,,,causal-graph1,8,42737,0.0-2.0,,,,Australia,Left,R564877637680gxrw,"img/chain_L.png,img/chain_LM.gif",active,1.0,,,Chain,Medium,,,,node5
1,13385.0,,,causal-graph1,9,56820,0.0-3.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LBSE3.gif",active,1.0,,,AND_Gate,Short,Event,Bottom,Long,node15
1,8398.0,,,causal-graph1,10,65867,0.0-4.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LBSE1.gif",active,1.0,,,AND_Gate,Short,Event,Bottom,Short,node7
1,14195.0,,,causal-graph1,11,81933,0.0-5.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LTSS.png,img/branch_LTSS.gif",active,1.0,,,AND_Gate,Short,State,Top,,node14
1,18570.0,,,causal-graph1,12,105260,0.0-6.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LBLE2.gif",active,1.0,,,AND_Gate,Long,Event,Bottom,Medium,node12
1,12289.0,,,causal-graph1,13,118611,0.0-7.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LBME2.gif",active,1.0,,,AND_Gate,Medium,Event,Bottom,Medium,node6
1,14525.0,,,causal-graph1,14,134087,0.0-8.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LTME3.gif",active,1.0,,,AND_Gate,Medium,Event,Top,Long,node14
1,10138.0,,,causal-graph1,15,145378,0.0-9.0,,,,Australia,Left,R564877637680gxrw,"img/chain_L.png,img/chain_LL.gif",active,1.0,,,Chain,Long,,,,node3
1,7454.0,,,causal-graph1,16,173530,0.0-10.0,,,,Australia,Left,R564877637680gxrw,"img/chain_L.png,img/chain_LS.gif",active,4.0,,,Chain,Short,,,,node7
1,16279.0,,,causal-graph1,17,190862,0.0-11.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LTLE3.gif",active,1.0,,,AND_Gate,Long,Event,Top,Long,node14
1,14006.0,,,causal-graph1,18,206665,0.0-12.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LBMS.png,img/branch_LBMS.gif",active,1.0,,,AND_Gate,Medium,State,Bottom,,node12
1,13177.0,,,causal-graph1,19,225002,0.0-13.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LTLE1.gif",active,1.0,,,AND_Gate,Long,Event,Top,Short,node13
1,293508.0,,,causal-graph1,20,551302,0.0-14.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LTLS.png,img/branch_LTLS.gif",active,3.0,,,AND_Gate,Long,State,Top,,node11
1,9614.0,,,causal-graph1,21,575601,0.0-15.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LBSE2.gif",active,2.0,,,AND_Gate,Short,Event,Bottom,Medium,node14
1,16827.0,,,causal-graph1,22,595481,0.0-16.0,,,,Australia,Left,R564877637680gxrw,"img/branch_LE.png,img/branch_LTME1.gif",active,1.0,,,AND_Gate,Medium,Event,Top,Short,node12
